"Year","Site","Block","Paddock","Drought","Grazing","Plot","slope_simple","npp_type","npp_gm2"
2018,"TB",1,1,0,"MMMMM",15,2,"ANPP",159.15
2018,"TB",1,1,0,"MMMMM",15,2,"BNPP",NA
2018,"TB",1,1,0,"MMMMM",15,2,"totNPP",NA
2018,"TB",1,1,0,"MMMMM",17,2,"ANPP",107.5
2018,"TB",1,1,0,"MMMMM",17,2,"BNPP",NA
2018,"TB",1,1,0,"MMMMM",17,2,"totNPP",NA
2018,"TB",1,1,25,"MMMMM",16,2,"ANPP",202.5
2018,"TB",1,1,25,"MMMMM",16,2,"BNPP",NA
2018,"TB",1,1,25,"MMMMM",16,2,"totNPP",NA
2018,"TB",1,1,50,"MMMMM",13,2,"ANPP",167.75
2018,"TB",1,1,50,"MMMMM",13,2,"BNPP",NA
2018,"TB",1,1,50,"MMMMM",13,2,"totNPP",NA
2018,"TB",1,1,75,"MMMMM",14,2,"ANPP",228.55
2018,"TB",1,1,75,"MMMMM",14,2,"BNPP",NA
2018,"TB",1,1,75,"MMMMM",14,2,"totNPP",NA
2018,"TB",1,1,99,"MMMMM",18,2,"ANPP",144.35
2018,"TB",1,1,99,"MMMMM",18,2,"BNPP",NA
2018,"TB",1,1,99,"MMMMM",18,2,"totNPP",NA
2018,"TB",1,3,0,"MLLMM",7,1,"ANPP",115.45
2018,"TB",1,3,0,"MLLMM",7,1,"BNPP",NA
2018,"TB",1,3,0,"MLLMM",7,1,"totNPP",NA
2018,"TB",1,3,0,"MLLMM",9,1,"ANPP",106.45
2018,"TB",1,3,0,"MLLMM",9,1,"BNPP",NA
2018,"TB",1,3,0,"MLLMM",9,1,"totNPP",NA
2018,"TB",1,3,25,"MLLMM",12,1,"ANPP",83.85
2018,"TB",1,3,25,"MLLMM",12,1,"BNPP",NA
2018,"TB",1,3,25,"MLLMM",12,1,"totNPP",NA
2018,"TB",1,3,50,"MLLMM",11,1,"ANPP",77.5
2018,"TB",1,3,50,"MLLMM",11,1,"BNPP",NA
2018,"TB",1,3,50,"MLLMM",11,1,"totNPP",NA
2018,"TB",1,3,75,"MLLMM",8,1,"ANPP",70.3
2018,"TB",1,3,75,"MLLMM",8,1,"BNPP",NA
2018,"TB",1,3,75,"MLLMM",8,1,"totNPP",NA
2018,"TB",1,3,99,"MLLMM",10,1,"ANPP",143.5
2018,"TB",1,3,99,"MLLMM",10,1,"BNPP",NA
2018,"TB",1,3,99,"MLLMM",10,1,"totNPP",NA
2018,"TB",2,1,0,"MMMMM",25,1,"ANPP",58.5
2018,"TB",2,1,0,"MMMMM",25,1,"BNPP",NA
2018,"TB",2,1,0,"MMMMM",25,1,"totNPP",NA
2018,"TB",2,1,0,"MMMMM",29,1,"ANPP",108.5
2018,"TB",2,1,0,"MMMMM",29,1,"BNPP",NA
2018,"TB",2,1,0,"MMMMM",29,1,"totNPP",NA
2018,"TB",2,1,25,"MMMMM",30,1,"ANPP",155.45
2018,"TB",2,1,25,"MMMMM",30,1,"BNPP",NA
2018,"TB",2,1,25,"MMMMM",30,1,"totNPP",NA
2018,"TB",2,1,50,"MMMMM",27,1,"ANPP",100.05
2018,"TB",2,1,50,"MMMMM",27,1,"BNPP",NA
2018,"TB",2,1,50,"MMMMM",27,1,"totNPP",NA
2018,"TB",2,1,75,"MMMMM",26,1,"ANPP",38.55
2018,"TB",2,1,75,"MMMMM",26,1,"BNPP",NA
2018,"TB",2,1,75,"MMMMM",26,1,"totNPP",NA
2018,"TB",2,1,99,"MMMMM",28,1,"ANPP",57.35
2018,"TB",2,1,99,"MMMMM",28,1,"BNPP",NA
